mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , 80.452, 126.779, 0.000, 1638289765.015, 
, , , 80.451, 126.780, 0.000, 1638289766.019, 
, , , 80.451, 126.780, 0.000, 1638289767.026, 
, , , 80.450, 126.780, 0.000, 1638289768.030, 
, , , 80.450, 126.781, 0.000, 1638289769.033, 
, , , 80.449, 126.781, 0.000, 1638289770.035, 
, , , 80.449, 126.781, 0.000, 1638289771.040, 
, , , 80.448, 126.782, 0.000, 1638289772.043, 
, , , 80.445, 126.781, 0.000, 1638289773.048, 
, , , 80.442, 126.779, 0.000, 1638289774.051, 
, , , 80.442, 126.780, 0.000, 1638289775.055, 
, , , 80.441, 126.782, 0.000, 1638289776.059, 
, , , 80.440, 126.783, 0.000, 1638289777.064, 
, , , 80.440, 126.785, 0.000, 1638289778.069, 
, , , 80.438, 126.785, 0.000, 1638289779.074, 
, , , 80.438, 126.787, 0.000, 1638289780.077, 
, , , 80.438, 126.788, 0.000, 1638289781.081, 
, , , 80.437, 126.788, 0.000, 1638289782.085, 
, , , 80.437, 126.790, 0.000, 1638289783.088, 
, , , 80.436, 126.790, 0.000, 1638289784.091, 
, , , 80.435, 126.790, 0.000, 1638289785.094, 
, , , 80.435, 126.792, 0.000, 1638289786.099, 
, , , 80.434, 126.794, 0.000, 1638289787.104, 
, , , 80.434, 126.795, 0.000, 1638289788.111, 
, , , 80.435, 126.796, 0.000, 1638289789.117, 
, , , 80.436, 126.797, 0.000, 1638289790.124, 
, , , 80.436, 126.797, 0.000, 1638289791.128, 
, , , 80.437, 126.797, 0.000, 1638289792.133, 
, , , 80.437, 126.796, 0.000, 1638289793.136, 
, , , 80.437, 126.798, 0.000, 1638289794.139, 
, , , 80.437, 126.800, 0.000, 1638289795.143, 
, , , 80.437, 126.801, 0.000, 1638289796.146, 
, , , 80.437, 126.802, 0.000, 1638289797.151, 
, , , 80.438, 126.802, 0.000, 1638289798.154, 
, , , 80.438, 126.803, 0.000, 1638289799.157, 
, , , 80.440, 126.803, 0.000, 1638289800.162, 
, , , 80.441, 126.804, 0.000, 1638289801.168, 
, , , 80.443, 126.803, 0.000, 1638289802.171, 
, , , 80.448, 126.803, 0.000, 1638289803.175, 
, , , 80.454, 126.803, 0.000, 1638289804.178, 
, , , 80.455, 126.802, 0.000, 1638289805.182, 
, , , 80.453, 126.797, 0.000, 1638289806.187, 
, , , 80.454, 126.799, 0.000, 1638289807.191, 
, , , 80.453, 126.802, 0.000, 1638289808.194, 
, , , 80.454, 126.803, 0.000, 1638289809.198, 
, , , 80.451, 126.803, 0.000, 1638289810.203, 
, , , 80.453, 126.802, 0.000, 1638289811.208, 
, , , 80.456, 126.801, 0.000, 1638289812.212, 
, , , 80.454, 126.795, 0.000, 1638289813.216, 
, , , 80.453, 126.792, 0.000, 1638289814.220, 
, , , 80.452, 126.790, 0.000, 1638289815.224, 
, , , 80.451, 126.790, 0.000, 1638289816.231, 
, , , 80.450, 126.789, 0.000, 1638289817.236, 
, , , 80.451, 126.789, 0.000, 1638289818.239, 
, , , 80.453, 126.790, 0.000, 1638289819.244, 
, , , 80.455, 126.790, 0.000, 1638289820.249, 
, , , 80.456, 126.790, 0.000, 1638289821.252, 
, , , 80.456, 126.790, 0.000, 1638289822.255, 
, , , 80.457, 126.790, 0.000, 1638289823.265, 
, , , 80.457, 126.789, 0.000, 1638289824.269, 
, , , 80.456, 126.789, 0.000, 1638289825.273, 
, , , 80.456, 126.789, 0.000, 1638289826.276, 
, , , 80.456, 126.788, 0.000, 1638289827.282, 
, , , 80.455, 126.788, 0.000, 1638289828.289, 
, , , 80.454, 126.788, 0.000, 1638289829.291, 
, , , 80.454, 126.788, 0.000, 1638289830.296, 
, , , 80.454, 126.788, 0.000, 1638289831.300, 
, , , 80.453, 126.788, 0.000, 1638289832.304, 
, , , 80.453, 126.788, 0.000, 1638289833.308, 
, , , 80.453, 126.788, 0.000, 1638289834.313, 
, , , 80.452, 126.788, 0.000, 1638289835.319, 
, , , 80.452, 126.788, 0.000, 1638289836.323, 
, , , 80.452, 126.788, 0.000, 1638289837.335, 
, , , 80.451, 126.789, 0.000, 1638289838.339, 
, , , 80.450, 126.789, 0.000, 1638289839.342, 
