x,y,z,WGS84_x,WGS84_y,theta
331.42621160000004,68.88780214,0,1612.436541239731,966.6325329933316,2.913679734218765
329.4145389,68.87196951,0,1611.9665908367606,968.5886066993698,2.913679734218765
331.3288488,53.32442369,0,1597.2536318586208,963.2109118839726,2.913679734218765
329.3329683,53.32700422,0,1596.8051866199821,965.1557621350512,2.913679734218765
331.42621360000004,-38.13027168,0,1508.1859465349698,942.4523421786726,2.913679734218765
329.4149284,-38.08628398,0,1507.7743570667226,944.4215545039624,2.913679734218765
331.4451131,-57.07968502,0,1489.7308337247232,938.1524079600349,2.913679734218765
329.4175953,-57.11413179,0,1489.2391704221955,940.1197112426162,2.913679734218765
331.44284689999995,-148.5718437,0,1400.6041427720338,917.4824281614274,2.913679734218765
329.5411903,-148.5234518,0,1400.2216136355419,919.3458419805393,2.913679734218765
331.4092017,-167.5843162,0,1382.0757292991038,913.2194319451228,2.913679734218765
329.6173506,-167.56756040000002,0,1381.6871921631973,914.9687318094075,2.913679734218765
306.17282420000004,-267.7716639,0,1278.7771872440353,915.1663777008653,2.913679734218765
305.20281669999997,-266.7807512,0,1279.5233067668742,916.3351925648749,2.913679734218765
292.0645489,-281.9129817,0,1261.8138698015828,925.7146553993225,2.913679734218765
290.63409160000003,-280.4871647,0,1262.879610746866,927.4302772814408,2.913679734218765
277.9590365,-278.05089889999994,0,1262.3890107506886,940.3280183421448,2.913679734218765
275.4805981,-278.0692186,0,1261.8111742598703,942.7382252840325,2.913679734218765
294.9179876,-260.3791964,0,1283.435513114673,927.8004555348307,2.913679734218765
292.7630855,-259.1850729,0,1284.1118675210746,930.1694381665438,2.913679734218765
-2.531269457,-278.0629022,0,1199.0019614206394,1213.5621557720006,2.913679734218765
-0.610519794,-278.0498212,0,1199.4486877534073,1211.6940321242437,2.913679734218765
-2.5185396630000003,-259.0823807,0,1217.4945244144183,1217.8383073583245,2.913679734218765
-0.510781229,-259.0657892,0,1217.9643296545837,1215.8862181585282,2.913679734218765
-2.551215114,-167.6059545,0,1306.5979948395398,1238.5387705462053,2.913679734218765
-0.41319032,-167.6142116,0,1307.073027083301,1236.454169249162,2.913679734218765
-2.598853398,-148.603208,0,1325.0985682366882,1242.878750721924,2.913679734218765
-0.622390394,-148.6079471,0,1325.5405234415084,1240.952328113839,2.913679734218765
